,Unnamed: 0,id,text,month,year,Vehicle models,standard models
0,0,1,It was about new vehicle,Aug,2024,,
1,1,2,Yes I have seen commercials for ford,Aug,2024,,
2,2,3,buy a ford product,Aug,2024,,
3,3,4,largest employer in usa,Aug,2024,,
4,4,5,Fords recall of F-150 vehicles,Aug,2024,F-150,F-150
5,5,6,There are sales.,Aug,2024,,
6,6,7,New cars,Aug,2024,,
7,7,8,NONE,Aug,2024,,
8,8,9,Advertising for Ford,Aug,2024,,
9,9,10,That there was a recall,Aug,2024,,
10,10,11,Building new battery plant in Kentucky,Aug,2024,,
11,11,12,Ford motor company invent a enviroment friendly  new car,Aug,2024,,
12,12,13,size and suspension,Aug,2024,,
13,13,14,That theynare makimg a new hesvy duty truck,Aug,2024,,
14,14,15,stock performance,Aug,2024,,
15,15,16,Truck on sale,Aug,2024,,
16,16,17,Don’t know,Aug,2024,,
17,17,18,Nothing,Aug,2024,,
18,18,19,Ford mustang ev version,Aug,2024,Ford mustang,Mustang
19,19,20,We like ford all american company,Aug,2024,,
20,20,21,About the mustang ev,Aug,2024,mustang,Mustang
21,21,22,A recall on pickup truck F150,Aug,2024,F150,F-150
22,22,23,No,Aug,2024,,
23,23,24,Promoting sales on products,Aug,2024,,
24,24,25,A sponser of the olympics,Aug,2024,,
25,25,26,Innovative technologies included in the latest vehicles,Aug,2024,,
26,26,27,They are venturing into EVs,Aug,2024,,
27,27,28,sales stable,Aug,2024,,
28,28,29,About the new electric cars,Aug,2024,,
29,29,30,Going electric,Aug,2024,,
30,30,31,Selling pick up trucks,Aug,2024,,
31,31,32,New cars coming,Aug,2024,,
32,32,33,The 2025 Ford  Raptor,Aug,2024,2025 Ford  Raptor,Raptor
33,33,34,There’s a new model of truck,Aug,2024,,
34,34,35,They close down one is there ev plants cant sell the trucks,Aug,2024,,
35,35,36,Lower production of EVs,Aug,2024,,
36,36,37,I cant remember,Aug,2024,,
37,37,38,The 2025 models coming out,Aug,2024,,
38,38,39,Was about the quality of the product,Aug,2024,,
39,39,40,Data breaches/Selling data to insurance companies/Traffic incidents,Aug,2024,,
40,40,41,Don’t remember,Aug,2024,,
41,41,42,It was a commercial I seen on TV,Aug,2024,,
42,42,43,new ev cars and trucks,Aug,2024,,
43,43,44,It was about new Ford products,Aug,2024,,
44,44,45,It was launching new services in its dealership’s.,Aug,2024,,
45,45,46,Commercial about new vehicles,Aug,2024,,
46,46,47,Commercial,Aug,2024,,
47,47,48,It is very high quality and unique,Aug,2024,,
48,48,49,The new F250 trucks and what is changing in current year,Aug,2024,F250,F-250
49,49,50,I saw an ad that they’re now making a New England specific truck model,Aug,2024,,
50,50,51,I heard very good new and upgrade,Aug,2024,,
51,51,52,New developments,Aug,2024,,
52,52,53,A commercial for one of their trucks,Aug,2024,,
53,53,54,Recalls for air bag,Aug,2024,,
54,54,55,It was a recall about a certain model that was not safe for consumers.,Aug,2024,,
55,55,56,That they are continuing building performance cars,Aug,2024,,
56,56,57,Na,Aug,2024,,
57,57,58,ProMotion,Aug,2024,,
58,58,59,Ford trucks and how they run off roads,Aug,2024,,
59,59,60,Tv commercials,Aug,2024,,
60,60,61,New cars,Aug,2024,,
61,61,62,They have a new truck out,Aug,2024,,
62,62,63,Has modern technology wifi capabilities going green,Aug,2024,,
63,63,64,They have a recall,Aug,2024,,
64,64,65,I like the new services and products,Aug,2024,,
65,65,66,The ad was about ford suv,Aug,2024,,
66,66,67,no,Aug,2024,,
67,67,68,Anything,Aug,2024,,
68,68,69,both really,Aug,2024,,
69,69,70,Positive and opinions,Aug,2024,,
70,70,71,How many worker employed,Aug,2024,,
