,Unnamed: 0,id,text,month,year,sentiment,cleaned_text
0,0,R_1QXxniNV3YpqUPq,It was about new vehicle,Aug,2024,neutral,new vehicle
1,1,R_3DhVOZ3PTKZkWgp,Yes I have seen commercials for ford,Aug,2024,neutral,yes see commercial ford
2,2,R_5Ea54NwgY2tkvR6,buy a ford product,Aug,2024,neutral,buy ford product
3,3,R_1YEbWB9AKWFLJnK,largest employer in usa,Aug,2024,neutral,large employer usa
4,4,R_1co47Ec7FvuwRpO,Fords recall of F-150 vehicles,Aug,2024,negative,ford recall F-150 vehicle
5,5,R_61oCMRBLbqLJcv6,There are sales.,Aug,2024,positive,sale .
6,6,R_1UhHzEcNWbdgIgh,New cars,Aug,2024,neutral,new car
7,7,R_1PBzk5UpqDyFyTI,NONE,Aug,2024,neutral,
8,8,R_6O22hNQBzxKT6An,Advertising for Ford,Aug,2024,neutral,advertise Ford
9,9,R_6R2dgUyyOssmWn7,That there was a recall,Aug,2024,negative,recall
10,10,R_1OcylR8TO0W6p7b,Building new battery plant in Kentucky,Aug,2024,positive,build new battery plant Kentucky
11,11,R_7CZLR90afog5Z7z,Ford motor company invent a enviroment friendly  new car,Aug,2024,positive,Ford motor company invent enviroment friendly   new car
12,12,R_7u299q4MAEsdKXT,size and suspension,Aug,2024,neutral,size suspension
13,13,R_3eKmWplk8z1C7qT,That theynare makimg a new hesvy duty truck,Aug,2024,neutral,theynare makimg new hesvy duty truck
14,14,R_7r0H2VyJ8ihufRv,stock performance,Aug,2024,neutral,stock performance
15,15,R_1rI7rJAeQNZEip6,Truck on sale,Aug,2024,neutral,truck sale
16,16,R_7DuK1PZ5aGEZJoy,Don’t know,Aug,2024,neutral,know
17,17,R_6X5xxwgtHXXRbqN,Nothing,Aug,2024,neutral,
18,18,R_7qOrDlPWCwDBXrr,Ford mustang ev version,Aug,2024,neutral,Ford mustang ev version
19,19,R_6m36KyWTT7eucFR,We like ford all american company,Aug,2024,positive,like ford american company
20,20,R_3OCC8LO521YX16g,About the mustang ev,Aug,2024,neutral,mustang ev
21,21,R_1sICWzHgHOzEShH,A recall on pickup truck F150,Aug,2024,negative,recall pickup truck f150
22,22,R_7kAQqQS46deiL4G,No,Aug,2024,negative,
23,23,R_3kcyE1zRdzYvKzf,Promoting sales on products,Aug,2024,neutral,promote sale product
24,24,R_7CCgrwStUQi257E,A sponser of the olympics,Aug,2024,neutral,sponser olympic
25,25,R_72Kc8M8c3rUGPpo,Innovative technologies included in the latest vehicles,Aug,2024,positive,innovative technology include late vehicle
26,26,R_5Uhc8NoraaDpqW1,They are venturing into EVs,Aug,2024,neutral,venture ev
27,27,R_71tJ8eih89mIk0J,sales stable,Aug,2024,neutral,sale stable
28,28,R_51jFOuYz0tbkHyS,About the new electric cars,Aug,2024,neutral,new electric car
29,29,R_7DbUat7wDaZZKB0,Going electric,Aug,2024,neutral,go electric
30,30,R_6rSOBwRRrJVNM0F,Selling pick up trucks,Aug,2024,neutral,selling pick truck
31,31,R_1QDl5poBpMDwL41,New cars coming,Aug,2024,neutral,new car come
32,32,R_7EUuLB9TI6pCI37,The 2025 Ford  Raptor,Aug,2024,neutral,2025 Ford   Raptor
33,33,R_5qswcXO13GEUbCo,There’s a new model of truck,Aug,2024,neutral,new model truck
34,34,R_36Wx7gzoqb4P477,They close down one is there ev plants cant sell the trucks,Aug,2024,negative,close ev plant nt sell truck
35,35,R_1hVXM8BW9uz5GPh,Lower production of EVs,Aug,2024,negative,low production ev
36,36,R_6HweXhAFT3NXNLa,I cant remember,Aug,2024,neutral,nt remember
37,37,R_6IvBimizIknCtsl,The 2025 models coming out,Aug,2024,neutral,2025 model come
38,38,R_6P1XQoX0OpksPIZ,Was about the quality of the product,Aug,2024,neutral,quality product
